DIA,MES,ANO,HORA,VELOCIDAD VIENTO,DIR. VIENTO,TEMPERATURA,HUMEDAD RELATIVA,PRESION BARIOMETRICA,PRECIPITACIONES
1,3,2019,4,0.71,39.0,7.6,64,954,0.0
1,3,2019,5,0.64,83.0,7.1,65,954,0.0
1,3,2019,6,0.66,12.0,6.1,68,954,0.0
1,3,2019,7,0.65,61.0,5.6,69,954,0.0
1,3,2019,8,0.71,48.0,4.9,71,954,0.0
1,3,2019,9,0.64,8.0,5.1,69,954,0.0
1,3,2019,10,0.68,47.0,9.9,52,954,0.0
1,3,2019,11,0.72,306.0,13.8,40,954,0.0
1,3,2019,12,1.06,62.0,15.9,31,954,0.0
1,3,2019,13,1.02,83.0,18.1,26,954,0.0
1,3,2019,14,1.14,199.0,19.4,25,953,0.0
1,3,2019,15,1.41,175.0,20.1,25,952,0.0
1,3,2019,16,1.63,217.0,20.5,24,951,0.0
1,3,2019,17,1.43,184.0,20.6,24,951,0.0
1,3,2019,18,1.72,221.0,19.8,26,950,0.0
1,3,2019,19,1.5,237.0,18.2,30,951,0.0
1,3,2019,20,1.05,245.0,16.6,36,951,0.0
1,3,2019,21,0.69,245.0,15.5,40,952,0.0
1,3,2019,22,0.81,307.0,14.5,38,952,0.0
1,3,2019,23,0.81,306.0,13.3,41,952,0.0
1,3,2019,24,0.52,220.0,11.7,47,952,0.0
1,3,2020,1,1.7,226.0,9.8,71,944,0.0
1,3,2020,2,2.32,228.0,9.4,74,944,0.0
1,3,2020,3,2.26,235.0,9.1,75,944,0.0
1,3,2020,4,2.31,230.0,8.8,79,943,0.0
1,3,2020,5,1.87,203.0,8.6,81,943,0.0
1,3,2020,6,1.35,202.0,8.4,84,943,0.0
1,3,2020,7,1.65,208.0,8.7,84,943,0.0
1,3,2020,8,1.9,216.0,8.9,84,943,0.0
1,3,2020,9,2.22,221.0,8.8,86,943,0.0
1,3,2020,10,2.55,219.0,9.0,86,944,0.0
1,3,2020,11,2.63,221.0,9.8,81,945,0.0
1,3,2020,12,2.66,234.0,10.7,77,945,0.0
1,3,2020,13,2.55,218.0,11.5,74,945,0.0
1,3,2020,14,3.41,218.0,12.6,70,944,0.0
1,3,2020,15,3.55,219.0,13.4,72,943,0.0
1,3,2020,16,3.29,224.0,14.1,69,942,0.0
1,3,2020,17,3.34,228.0,14.7,66,941,0.0
1,3,2020,18,3.22,223.0,13.8,72,941,0.0
